Id,Predicted
0,neutral
1,joy
2,non-neutral
3,neutral
4,non-neutral
5,non-neutral
6,neutral
7,neutral
8,surprise
9,non-neutral
10,joy
11,neutral
12,non-neutral
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,neutral
19,neutral
20,neutral
21,neutral
22,surprise
23,surprise
24,joy
25,anger
26,anger
27,joy
28,surprise
29,surprise
30,surprise
31,surprise
32,non-neutral
33,neutral
34,surprise
35,surprise
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,neutral
45,surprise
46,sadness
47,surprise
48,surprise
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,non-neutral
59,neutral
60,surprise
61,neutral
62,non-neutral
63,neutral
64,neutral
65,non-neutral
66,neutral
67,surprise
68,surprise
69,surprise
70,non-neutral
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,surprise
77,anger
78,joy
79,surprise
80,neutral
81,surprise
82,neutral
83,joy
84,surprise
85,joy
86,joy
87,joy
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,anger
95,non-neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,non-neutral
104,joy
105,neutral
106,non-neutral
107,neutral
108,neutral
109,anger
110,neutral
111,neutral
112,neutral
113,neutral
114,surprise
115,neutral
116,surprise
117,non-neutral
118,joy
119,joy
120,surprise
121,neutral
122,surprise
123,neutral
124,joy
125,joy
126,joy
127,joy
128,joy
129,joy
130,neutral
131,neutral
132,neutral
133,non-neutral
134,non-neutral
135,neutral
136,joy
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,neutral
144,surprise
145,neutral
146,neutral
147,neutral
148,surprise
149,neutral
150,neutral
151,surprise
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,surprise
158,joy
159,neutral
160,non-neutral
161,surprise
162,surprise
163,joy
164,surprise
165,joy
166,non-neutral
167,neutral
168,neutral
169,surprise
170,surprise
171,neutral
172,neutral
173,neutral
174,non-neutral
175,non-neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,surprise
181,neutral
182,non-neutral
183,surprise
184,neutral
185,surprise
186,neutral
187,neutral
188,neutral
189,neutral
190,non-neutral
191,neutral
192,surprise
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,non-neutral
206,surprise
207,non-neutral
208,neutral
209,neutral
210,surprise
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,non-neutral
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,neutral
226,sadness
227,joy
228,surprise
229,neutral
230,neutral
231,neutral
232,neutral
233,neutral
234,surprise
235,surprise
236,neutral
237,non-neutral
238,surprise
239,non-neutral
240,neutral
241,surprise
242,non-neutral
243,neutral
244,non-neutral
245,joy
246,neutral
247,neutral
248,sadness
249,joy
250,joy
251,joy
252,joy
253,surprise
254,surprise
255,non-neutral
256,neutral
257,surprise
258,surprise
259,non-neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,surprise
266,non-neutral
267,surprise
268,neutral
269,anger
270,neutral
271,anger
272,non-neutral
273,neutral
274,non-neutral
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,surprise
281,joy
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,neutral
288,joy
289,joy
290,joy
291,neutral
