Id,Predicted
0,neutral
1,surprise
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,non-neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
15,surprise
16,sadness
17,surprise
18,non-neutral
19,neutral
20,neutral
21,neutral
22,surprise
23,neutral
24,neutral
25,non-neutral
26,non-neutral
27,neutral
28,non-neutral
29,neutral
30,non-neutral
31,neutral
32,non-neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,neutral
45,surprise
46,surprise
47,neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,neutral
58,joy
59,neutral
60,neutral
61,neutral
62,non-neutral
63,neutral
64,neutral
65,neutral
66,neutral
67,neutral
68,non-neutral
69,joy
70,neutral
71,neutral
72,neutral
73,neutral
74,neutral
75,neutral
76,neutral
77,neutral
78,neutral
79,joy
80,non-neutral
81,surprise
82,neutral
83,neutral
84,non-neutral
85,neutral
86,neutral
87,joy
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,non-neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,joy
101,neutral
102,joy
103,neutral
104,non-neutral
105,non-neutral
106,neutral
107,neutral
108,neutral
109,non-neutral
110,neutral
111,neutral
112,non-neutral
113,surprise
114,neutral
115,neutral
116,surprise
117,neutral
118,joy
119,joy
120,surprise
121,neutral
122,neutral
123,neutral
124,joy
125,neutral
126,joy
127,neutral
128,neutral
129,neutral
130,neutral
131,non-neutral
132,neutral
133,non-neutral
134,non-neutral
135,neutral
136,neutral
137,neutral
138,surprise
139,neutral
140,neutral
141,neutral
142,neutral
143,neutral
144,joy
145,neutral
146,neutral
147,neutral
148,surprise
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,surprise
158,neutral
159,joy
160,non-neutral
161,surprise
162,neutral
163,neutral
164,neutral
165,neutral
166,neutral
167,neutral
168,joy
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,neutral
175,neutral
176,neutral
177,neutral
178,surprise
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,surprise
186,neutral
187,neutral
188,neutral
189,surprise
190,non-neutral
191,joy
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,joy
206,neutral
207,joy
208,neutral
209,neutral
210,neutral
211,joy
212,neutral
213,neutral
214,neutral
215,neutral
216,non-neutral
217,non-neutral
218,neutral
219,neutral
220,non-neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,surprise
226,neutral
227,neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,neutral
234,neutral
235,surprise
236,neutral
237,neutral
238,non-neutral
239,neutral
240,neutral
241,neutral
242,non-neutral
243,joy
244,neutral
245,neutral
246,non-neutral
247,neutral
248,neutral
249,joy
250,neutral
251,joy
252,neutral
253,surprise
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,neutral
266,neutral
267,surprise
268,neutral
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,neutral
276,joy
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,joy
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,non-neutral
297,neutral
298,neutral
299,neutral
300,surprise
301,non-neutral
302,neutral
303,joy
304,joy
305,surprise
306,neutral
307,non-neutral
308,neutral
309,neutral
310,neutral
311,neutral
312,neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,non-neutral
318,neutral
319,neutral
320,neutral
321,surprise
322,neutral
323,neutral
324,joy
325,joy
326,neutral
327,non-neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,neutral
333,neutral
334,neutral
335,joy
336,non-neutral
337,neutral
338,surprise
339,neutral
340,neutral
341,surprise
342,neutral
343,surprise
344,joy
345,joy
346,neutral
347,neutral
348,neutral
349,neutral
350,joy
351,neutral
352,neutral
353,neutral
354,neutral
355,neutral
356,neutral
357,surprise
358,neutral
359,surprise
360,neutral
361,surprise
362,joy
363,joy
364,neutral
365,neutral
366,neutral
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,joy
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,non-neutral
384,neutral
385,non-neutral
386,surprise
387,neutral
388,surprise
389,neutral
390,neutral
391,neutral
392,joy
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,neutral
399,surprise
400,non-neutral
401,joy
402,non-neutral
403,neutral
404,joy
405,neutral
406,non-neutral
407,neutral
408,non-neutral
409,neutral
410,neutral
411,neutral
412,neutral
413,neutral
414,neutral
415,joy
416,neutral
417,neutral
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,surprise
424,neutral
425,neutral
426,joy
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,surprise
441,neutral
442,joy
443,neutral
444,neutral
445,non-neutral
446,neutral
447,neutral
448,neutral
449,neutral
450,neutral
451,surprise
452,neutral
453,joy
454,neutral
455,neutral
456,neutral
457,neutral
458,neutral
459,neutral
460,neutral
461,surprise
462,neutral
463,neutral
464,neutral
465,neutral
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,surprise
473,non-neutral
474,neutral
475,neutral
476,non-neutral
477,neutral
478,neutral
479,neutral
480,non-neutral
481,surprise
482,non-neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,joy
489,non-neutral
490,neutral
491,neutral
492,surprise
493,non-neutral
494,neutral
495,neutral
496,neutral
497,neutral
498,non-neutral
499,neutral
500,neutral
501,neutral
502,neutral
503,neutral
504,neutral
505,surprise
506,non-neutral
507,non-neutral
508,neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,non-neutral
515,surprise
516,neutral
517,neutral
518,surprise
519,neutral
520,joy
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,non-neutral
535,joy
536,surprise
537,neutral
538,neutral
539,neutral
540,surprise
541,neutral
542,surprise
543,neutral
544,neutral
545,neutral
546,non-neutral
547,neutral
548,neutral
549,neutral
550,neutral
551,neutral
552,neutral
553,neutral
554,neutral
555,neutral
556,non-neutral
557,surprise
558,joy
559,neutral
560,neutral
561,neutral
562,surprise
563,neutral
564,non-neutral
565,neutral
566,joy
567,surprise
568,neutral
569,joy
570,non-neutral
571,neutral
572,neutral
573,joy
574,neutral
575,neutral
576,surprise
577,neutral
578,neutral
579,neutral
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,non-neutral
586,neutral
587,surprise
588,neutral
589,neutral
590,surprise
591,neutral
592,neutral
593,non-neutral
594,neutral
595,neutral
596,surprise
597,neutral
598,non-neutral
599,neutral
600,neutral
601,non-neutral
