Id,Predicted
0,non-neutral
1,surprise
2,anger
3,neutral
4,anger
5,anger
6,non-neutral
7,non-neutral
8,surprise
9,neutral
10,anger
11,non-neutral
12,non-neutral
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,sadness
19,sadness
20,neutral
21,neutral
22,surprise
23,joy
24,joy
25,anger
26,anger
27,joy
28,anger
29,surprise
30,non-neutral
31,neutral
32,sadness
33,neutral
34,surprise
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,joy
44,neutral
45,surprise
46,sadness
47,non-neutral
48,non-neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,non-neutral
59,neutral
60,non-neutral
61,neutral
62,anger
63,neutral
64,neutral
65,sadness
66,non-neutral
67,surprise
68,surprise
69,surprise
70,non-neutral
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,surprise
77,non-neutral
78,joy
79,joy
80,non-neutral
81,surprise
82,neutral
83,joy
84,surprise
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,anger
95,non-neutral
96,neutral
97,non-neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,sadness
104,joy
105,neutral
106,sadness
107,joy
108,neutral
109,non-neutral
110,neutral
111,neutral
112,non-neutral
113,neutral
114,non-neutral
115,neutral
116,surprise
117,neutral
118,non-neutral
119,joy
120,non-neutral
121,neutral
122,surprise
123,neutral
124,joy
125,surprise
126,joy
127,joy
128,joy
129,joy
130,neutral
131,non-neutral
132,neutral
133,non-neutral
134,surprise
135,non-neutral
136,non-neutral
137,non-neutral
138,non-neutral
139,neutral
140,neutral
141,neutral
142,joy
143,surprise
144,surprise
145,surprise
146,surprise
147,non-neutral
148,surprise
149,surprise
150,neutral
151,non-neutral
152,neutral
153,neutral
154,non-neutral
155,neutral
156,neutral
157,surprise
158,neutral
159,joy
160,non-neutral
161,surprise
162,surprise
163,joy
164,surprise
165,joy
166,sadness
167,sadness
168,neutral
169,non-neutral
170,surprise
171,surprise
172,neutral
173,anger
174,surprise
175,surprise
176,joy
177,neutral
178,neutral
179,neutral
180,surprise
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,sadness
188,sadness
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,non-neutral
206,neutral
207,non-neutral
208,non-neutral
209,non-neutral
210,surprise
211,joy
212,anger
213,non-neutral
214,neutral
215,neutral
216,non-neutral
217,surprise
218,neutral
219,anger
220,joy
221,neutral
222,neutral
223,surprise
224,non-neutral
225,neutral
226,sadness
227,non-neutral
228,surprise
229,neutral
230,non-neutral
231,non-neutral
232,neutral
233,joy
234,neutral
235,surprise
236,neutral
237,non-neutral
238,surprise
239,joy
240,neutral
241,non-neutral
242,joy
243,neutral
244,joy
245,joy
246,surprise
247,neutral
248,sadness
249,joy
250,joy
251,joy
252,neutral
253,non-neutral
254,surprise
255,anger
256,neutral
257,neutral
258,surprise
259,non-neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,non-neutral
266,non-neutral
267,surprise
268,non-neutral
269,anger
270,neutral
271,non-neutral
272,non-neutral
273,neutral
274,joy
275,neutral
276,joy
277,neutral
278,neutral
279,neutral
280,non-neutral
281,joy
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,joy
