Id,Predicted
0,non-neutral
1,surprise
2,non-neutral
3,neutral
4,non-neutral
5,sadness
6,neutral
7,non-neutral
8,surprise
9,neutral
10,non-neutral
11,neutral
12,non-neutral
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,non-neutral
19,sadness
20,neutral
21,neutral
22,surprise
23,joy
24,joy
25,anger
26,anger
27,joy
28,anger
29,surprise
30,anger
31,neutral
32,non-neutral
33,neutral
34,surprise
35,anger
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,surprise
44,neutral
45,surprise
46,sadness
47,anger
48,non-neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,non-neutral
59,neutral
60,non-neutral
61,neutral
62,anger
63,neutral
64,neutral
65,non-neutral
66,neutral
67,surprise
68,anger
69,joy
70,non-neutral
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,non-neutral
77,non-neutral
78,joy
79,anger
80,non-neutral
81,surprise
82,neutral
83,joy
84,surprise
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,non-neutral
95,non-neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,anger
104,joy
105,neutral
106,sadness
107,joy
108,neutral
109,anger
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,neutral
118,joy
119,joy
120,surprise
121,neutral
122,non-neutral
123,neutral
124,joy
125,surprise
126,joy
127,joy
128,joy
129,joy
130,neutral
131,non-neutral
132,neutral
133,non-neutral
134,surprise
135,non-neutral
136,non-neutral
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,non-neutral
144,surprise
145,surprise
146,surprise
147,neutral
148,surprise
149,non-neutral
150,neutral
151,non-neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,surprise
158,neutral
159,neutral
160,non-neutral
161,surprise
162,surprise
163,joy
164,surprise
165,non-neutral
166,sadness
167,neutral
168,neutral
169,non-neutral
170,surprise
171,surprise
172,neutral
173,anger
174,non-neutral
175,non-neutral
176,joy
177,neutral
178,neutral
179,neutral
180,surprise
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,non-neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,non-neutral
206,neutral
207,non-neutral
208,neutral
209,non-neutral
210,neutral
211,joy
212,anger
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,anger
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,non-neutral
226,sadness
227,joy
228,surprise
229,neutral
230,joy
231,non-neutral
232,neutral
233,joy
234,non-neutral
235,surprise
236,neutral
237,non-neutral
238,non-neutral
239,non-neutral
240,neutral
241,surprise
242,joy
243,neutral
244,anger
245,joy
246,neutral
247,surprise
248,sadness
249,joy
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,anger
256,neutral
257,neutral
258,neutral
259,surprise
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,surprise
266,non-neutral
267,surprise
268,non-neutral
269,anger
270,neutral
271,non-neutral
272,surprise
273,joy
274,joy
275,neutral
276,joy
277,neutral
278,neutral
279,neutral
280,non-neutral
281,joy
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,joy
290,joy
291,joy
292,neutral
